date,taiwan_vix,vix_return_5d,vix_return_10d,vix_return_20d
20260202,28.33,,,
20260203,25.68,,,
20260204,27.45,,,
20260205,28.81,,,
20260206,30.07,,,
20260209,28.43,0.3529827038475153,,
20260210,27.77,8.138629283489095,,
20260211,29.25,6.557377049180335,,
20260223,27.38,-4.963554321416175,,
20260224,26.27,-12.63717991353509,,
20260225,29.1,2.356665494196286,2.717966819625839,
20260226,26.77,-3.6010082823190515,4.244548286604366,
20260302,30.38,,,
20260303,32.39,,,
20260304,39.28,,,
20260305,33.96,,,
20260306,34.03,,,
20260309,41.5,36.60302830809743,,
20260310,36.69,13.275702377276932,,
20260311,34.71,-11.634419551934826,,
20260312,36.83,8.451118963486447,,
20260313,38.2,12.253893623273582,,
20260316,37.0,-10.843373493975905,21.7906517445688,
20260317,34.89,-4.905968928863446,7.718431614695898,
20260318,31.81,-8.354940939210609,-19.017311608961307,
20260319,35.4,-3.882704317132768,4.240282685512353,
20260320,34.89,-8.66492146596859,2.527181898325015,
20260323,39.21,5.9729729729729675,-5.518072289156628,
20260324,38.45,10.203496703926639,4.79694739711094,
20260325,36.32,14.17793146809181,4.638432728320363,
20260326,36.83,4.039548022598871,0.0,
20260327,36.21,3.7833190025795327,-5.209424083769642,
20260330,37.43,-4.539658250446321,1.1621621621621614,23.206056616194857
20260331,37.0,-3.771131339401823,6.0475781026081865,14.232787897499222
20260401,34.85,,,
20260402,36.45,,,
20260407,33.62,,,
20260408,30.53,,,
20260409,29.36,,,
20260410,27.32,-21.606886657101864,,
20260413,29.43,-19.259259259259267,,
20260414,27.69,-17.638310529446745,,
20260415,28.12,-7.893874877169993,,
20260416,29.05,-1.0558583106267005,,
20260417,28.54,4.465592972181542,-18.106169296987098,
20260420,29.98,1.868841318382608,-17.75034293552813,
20260421,29.93,8.089563019140478,-10.97560975609756,
20260422,29.52,4.97866287339972,-3.3082214215525707,
20260423,32.48,11.807228915662638,10.626702997275196,
20260424,36.07,26.38402242466713,32.027818448023424,
20260427,36.46,21.614409606404262,23.88718994223582,
20260428,35.88,19.879719345138657,29.5774647887324,
20260429,32.49,10.060975609756095,15.540540540540547,
20260430,35.16,8.251231527093594,21.032702237521494,
20260504,35.59,,,
20260505,36.73,,,
20260506,38.31,,,
20260507,37.8,,,
20260508,37.41,,,
20260511,35.37,-0.6181511660579009,,
20260512,37.58,2.31418459025321,,
20260513,38.28,-0.0783085356303892,,
20260514,39.38,4.179894179894195,,
20260515,38.62,3.234429296979413,,
20260518,39.07,10.460842521911239,9.778027535824663,
20260519,39.51,5.135710484300149,7.568744895181045,
20260520,36.91,-3.5788923719958343,-3.6543983294179183,
20260521,34.36,-12.747587607922807,-9.100529100529098,
20260522,33.09,-14.319005696530285,-11.547714514835583,
20260525,33.91,-13.207064243665222,-4.12779191405146,
20260526,32.91,-16.704631738800312,-12.426822778073443,
20260527,34.51,-6.502302898943368,-9.848484848484851,
20260528,36.28,5.587892898719438,-7.872016251904523,
