generated_at,audit_id,audit_version,source_artifact,source_row_index,signal_date,model_id,stock_id,stock_name,coverage_status,matched_revenue_period,matched_source_table_date,history_rows_for_stock,history_rows_asof,matched_revenue_numerical_anomaly_flag,research_join_allowed,formal_model_revenue_gate_ready,blocker_reason
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,0,20260529,price_pullback_23ema,1471,首利,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,1,20260529,price_pullback_23ema,1514,亞力,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,2,20260529,price_pullback_23ema,1519,華城,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,3,20260529,price_pullback_23ema,1536,和大,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,4,20260529,price_pullback_23ema,1597,直得,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,5,20260529,price_pullback_23ema,1608,華榮,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,6,20260529,price_pullback_23ema,1612,宏泰,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,7,20260529,price_pullback_23ema,1616,億泰,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,8,20260529,price_pullback_23ema,1717,長興,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,9,20260529,price_pullback_23ema,2323,中環,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,10,20260529,price_pullback_23ema,2330,台積電,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,11,20260529,price_pullback_23ema,2340,台亞,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,12,20260529,price_pullback_23ema,2345,智邦,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
2026-07-15 21:40:53 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,13,20260529,price_pullback_23ema,2347,聯強,ready_asof_history_row,202604,20260517,26,24,False,True,False,coverage row exists but formal gate still requires sufficient history coverage audit
