date,category,category_cn,breakout_type,stock_id,stock_name,industry,細分族群,theme_group,theme_score,theme_note,revaluation_priority,score,rank,latest_revenue_yoy,cumulative_revenue_yoy,revenue_acceleration_note,revenue_warning,revenue_release_date,return_after_revenue_1d,return_after_revenue_3d,return_5d,return_10d,return_20d,return_60d,return_120d,off_60d_low_pct,off_120d_low_pct,already_priced_in,priced_in_reason,close,volume,volume_lots,volume_ratio,ma20,ma60,ema23,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_ema23_pct,previous_high,previous_40d_high,previous_60d_high,distance_to_previous_high_pct,distance_to_previous_40d_high_pct,distance_to_previous_60d_high_pct,high_20,low_20,high_60,low_60,high_120,low_120,platform_high,platform_low,platform_width_pct,in_platform,near_ma,available_days,price_data_warning,tdcc_date,holder_400_pct,holder_400_change,holder_1000_pct,holder_1000_change,tdcc_judgement,tdcc_weeks_used,tdcc_400_change_sum,tdcc_1000_change_sum,tdcc_400_up_weeks,tdcc_1000_up_weeks,tdcc_accumulation_signal,tdcc_accumulation_note,main_force_net_lots,institutional_net_lots,eight_banks_net_lots,chip_flow_adjusted_net_lots,positive_streak_days,latest_positive,chart_path,chart_url,price_data_path,chart_days,note,ticker,name,market,judge,rebound_judge,revenue_period,revenue_yoy_pct,cumulative_yoy_pct,open,high,low,gap_ma20_pct,gap_ma60_pct,gap_ema23_pct,return_5d_pct,return_10d_pct,return_20d_pct,return_60d_pct,return_120d_pct,previous_20d_high,previous_20d_low,previous_40d_low,previous_60d_low,consolidation_range_pct,breakout_pct,limit_up_breakout,abnormal_volume_up,distance_to_high_60_pct,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,is_mainstream,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge,stage_order,warrant_flow_signal,warrant_flow_score,warrant_flow_warning,call_turnover,put_turnover,call_put_turnover_ratio,call_turnover_change_1d,call_turnover_change_5d,low_float_call_spike_count,top_issuer,warrant_note,is_construction_recognition,recognition_type,revenue_signal_type,revenue_applicability_note,theme_strength_score,catalyst_strength_score,catalyst_tags,fundamental_catalyst_score,fundamental_catalyst_tags,event_catalyst_tags,pre_breakout_catalyst_flag,similar_to_shihsinko_flag,eps_surprise_flag,earnings_acceleration_flag,margin_improvement_flag,profit_turnaround_flag,undervalued_after_eps_flag,revenue_good_eps_unconfirmed_flag,theme_catalyst_flag,theme_catalyst_tags,catalyst_date,catalyst_source,catalyst_summary,price_reaction_after_catalyst,price_reaction_level,already_reacted_to_catalyst,catalyst_quality,catalyst_confidence,price_return_1d_after_catalyst,price_return_3d_after_catalyst,price_return_5d_after_catalyst,price_return_20d_after_catalyst,volume_ratio_after_catalyst,long_upper_shadow_after_catalyst,gap_up_failed_after_catalyst,low_reaction_after_catalyst,catalyst_overheated,event_calendar_tags,event_proximity_score,nearest_event_date,nearest_event_type,nearest_event_name,days_to_nearest_event,event_calendar_source,signal_date,consecutive_appear_days_any_category,consecutive_appear_days_same_category,appear_count_5d,appear_count_10d,appear_count_20d,first_seen_date,last_seen_date,multi_category_flags,repeat_appear_label,repeat_appear_note
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,1773,勝一,化學工業,,,,,,69.0,,,,,,,,,,,,,,,,,,184.5,2788032.0,2788.03,1.73,175.05,159.12,172.99,,,,,188.0,188.0,,-1.86,-1.86,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,0.0,-0.22,1.0,1.0,distribution_warning,近幾週其中一項大戶級距減少,,,,,,,,,data/daily_price,180,區間內轉強；量比1.73x；月營收YoY 31.8%；累計YoY 15.8%；TDCC近幾週大戶籌碼轉弱,1773,勝一,TWSE,初步觀察,,11504.0,31.80571027079428,15.802179480686233,179.5,188.0,177.0,5.4,15.95,6.65,11.14,2.79,3.07,19.03,37.69,188.0,161.5,136.0,136.0,38.24,-1.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,0.0,0.0,,-100.0,-100.0,0.0,元大,今日無可用權證成交金額,,,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;化學工業,0,,,False,False,False,False,False,False,False,False,False,化學工業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,range_rebound,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2236,百達-KY,汽車工業,,,,,,69.0,,,,,,,,,,,,,,,,,,146.5,1003578.0,1003.58,1.74,137.25,123.46,135.96,,,,,148.0,148.0,,-1.01,-1.01,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,-1.98,-2.38,0.0,0.0,distribution_warning,近幾週400張與1000張同步減少,,,,,,,,,data/daily_price,180,區間內轉強；量比1.74x；月營收YoY 5.2%；累計YoY 14.9%；TDCC近幾週大戶籌碼轉弱,2236,百達-KY,TWSE,初步觀察,,11504.0,5.1965109770234,14.8534471230412,139.5,148.0,137.5,6.74,18.66,7.75,10.98,5.02,8.92,27.39,59.59,148.0,129.5,109.0,101.0,35.78,-1.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;汽車工業,0,,,False,False,False,False,False,False,False,False,False,汽車工業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,range_rebound,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,near_resistance,2241,艾姆勒,汽車工業,,,,,,69.0,,,,,,,,,,,,,,,,,,37.85,5313613.0,5313.61,2.5,32.96,30.66,33.47,,,,,39.05,39.05,,-3.07,-3.07,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,-0.2,-0.02,0.0,1.0,distribution_warning,近幾週400張與1000張同步減少,,,,,,,,,data/daily_price,180,挑戰前高；量比2.5x；月營收YoY 65.6%；累計YoY 34.0%；TDCC近幾週大戶籌碼轉弱,2241,艾姆勒,TWSE,初步觀察,,11504.0,65.61372467388287,34.04444901386247,38.5,39.05,37.25,14.83,23.45,13.08,13.49,10.51,19.59,28.31,4.13,39.05,29.5,27.0,27.0,44.63,-3.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;汽車工業,0,,,False,False,False,False,False,False,False,False,False,汽車工業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,False,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,pattern|range_rebound,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2305,全友,電腦及週邊設備業,,,,,,69.0,,,,,,,,,,,,,,,,,,18.8,8991259.0,8991.26,2.02,17.02,16.06,17.22,,,,,20.2,20.2,,-6.93,-6.93,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,-2.2,-1.38,0.0,0.0,distribution_warning,近幾週400張與1000張同步減少,,,,,,,,,data/daily_price,180,區間內轉強；量比2.02x；月營收YoY 81.1%；累計YoY 58.3%；TDCC近幾週大戶籌碼轉弱,2305,全友,TWSE,初步觀察,,11504.0,81.07437391238557,58.26494269000799,18.3,19.1,17.85,10.46,17.04,9.19,14.63,7.43,18.24,41.35,81.64,19.1,15.1,14.65,11.75,37.88,-6.93,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電腦及週邊設備業,0,,,False,False,False,False,False,False,False,False,False,電腦及週邊設備業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,False,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,range_rebound|revenue_pullback,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2324,仁寶,電腦及週邊設備業,,,,,,69.0,,,,,,,,,,,,,,,,,,31.5,199926271.0,199926.27,2.53,29.74,30.23,29.96,,,,,33.55,33.55,,-6.11,-6.11,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,-0.55,-0.6,0.0,1.0,distribution_warning,近幾週400張與1000張同步減少,,,,,,,,,data/daily_price,180,區間內轉強；量比2.53x；月營收YoY 15.5%；累計YoY 4.5%；TDCC近幾週大戶籌碼轉弱,2324,仁寶,TWSE,初步觀察,,11504.0,15.539312646715004,4.547245224924795,30.95,32.2,30.5,5.93,4.21,5.13,13.31,5.35,5.0,4.65,7.14,32.2,27.5,26.75,26.75,25.42,-6.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,0.0,0.0,,-100.0,-100.0,0.0,中信,今日無可用權證成交金額,,,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電腦及週邊設備業,0,,,False,False,False,False,False,False,False,False,False,電腦及週邊設備業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,pattern|range_rebound,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2332,友訊,通信網路業,,,,,,69.0,,,,,,,,,,,,,,,,,,15.45,12015319.0,12015.32,2.66,14.19,14.86,14.5,,,,,16.0,16.2,,-3.44,-4.63,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,0.08,-0.05,1.0,1.0,mild_accumulation,近幾週其中一項大戶級距增加,,,,,,,,,data/daily_price,180,區間內轉強；量比2.66x；月營收YoY 18.5%；累計YoY 6.7%；TDCC近幾週大戶溫和增加,2332,友訊,TWSE,初步觀察,,11504.0,18.53025279164257,6.724496932959232,14.65,15.7,14.45,8.9,3.96,6.53,11.55,9.96,9.96,-1.9,1.31,15.7,13.45,13.45,13.45,18.96,-4.63,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,0.0,0.0,,,-100.0,0.0,國票,今日無可用權證成交金額,,,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;通信網路業,0,,,False,False,False,False,False,False,False,False,False,通信網路業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,range_rebound,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2352,佳世達,電腦及週邊設備業,,,,,,69.0,,,,,,,,,,,,,,,,,,28.75,31150472.0,31150.47,3.05,25.8,24.74,26.1,,,,,29.3,29.3,,-1.88,-1.88,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,0.68,0.85,2.0,2.0,strong_accumulation,近幾週400張與1000張同步累積,,,,,,,,,data/daily_price,180,區間內轉強；量比3.05x；月營收YoY -1.8%；累計YoY 2.2%；TDCC近幾週400張與1000張同步累積,2352,佳世達,TWSE,初步觀察,,11504.0,-1.8420153734217053,2.211494304160656,28.2,29.3,28.05,11.42,16.22,10.16,14.77,10.79,20.04,9.52,5.5,29.3,23.8,22.7,22.55,29.07,-1.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,0.0,0.0,,-100.0,-100.0,0.0,元大,今日無可用權證成交金額,,,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電腦及週邊設備業,0,,,False,False,False,False,False,False,False,False,False,電腦及週邊設備業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,False,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,pattern|range_rebound,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2353,宏碁,電腦及週邊設備業,,,,,,69.0,,,,,,,,,,,,,,,,,,29.55,70184347.0,70184.35,2.32,28.14,27.64,28.24,,,,,29.95,29.95,,-1.34,-1.34,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,0.69,0.84,2.0,2.0,strong_accumulation,近幾週400張與1000張同步累積,,,,,,,,,data/daily_price,180,區間內轉強；量比2.32x；月營收YoY 68.4%；累計YoY 29.7%；TDCC近幾週400張與1000張同步累積,2353,宏碁,TWSE,初步觀察,,11504.0,68.39241034251229,29.65214150981726,28.6,29.95,28.5,5.02,6.9,4.66,6.49,4.42,8.64,8.04,4.6,29.95,27.1,26.7,25.6,12.17,-1.34,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,0.0,0.0,,-100.0,-100.0,0.0,元大,今日無可用權證成交金額,,,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電腦及週邊設備業,0,,,False,False,False,False,False,False,False,False,False,電腦及週邊設備業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,pattern|range_rebound|revenue_breakout_low_response|revenue_pullback,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2355,敬鵬,電子零組件業,,,,,,69.0,,,,,,,,,,,,,,,,,,65.2,68692468.0,68692.47,2.2,55.87,50.58,57.03,,,,,67.1,67.1,,-2.83,-2.83,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,3.71,4.14,2.0,2.0,strong_accumulation,近幾週400張與1000張同步累積,,,,,,,,,data/daily_price,180,區間內轉強；量比2.2x；月營收YoY -3.1%；累計YoY 2.8%；TDCC近幾週400張與1000張同步累積,2355,敬鵬,TWSE,初步觀察,,11504.0,-3.0921348314606742,2.8141956090094444,64.8,67.1,63.1,16.7,28.92,14.33,2.84,26.36,21.19,58.83,116.25,67.1,50.2,45.35,39.15,47.96,-2.83,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,0.0,0.0,,-100.0,-100.0,0.0,中信,今日無可用權證成交金額,,,,,2,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;PCB_CCL_theme;auto electronics,0,,,False,False,False,False,False,False,False,False,False,PCB_CCL_theme;auto electronics,,config/stock_theme_map.csv,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,False,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,range_rebound,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
20260524,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2362,藍天,電腦及週邊設備業,,,,,,69.0,,,,,,,,,,,,,,,,,,40.85,1602483.0,1602.48,1.87,39.4,38.72,39.43,,,,,41.2,41.2,,-0.85,-0.85,,,,,,,,,,,,134.0,,20260522.0,,,,,,3.0,0.18,0.14,2.0,2.0,strong_accumulation,近幾週400張與1000張同步累積,,,,,,,,,data/daily_price,180,區間內轉強；量比1.87x；月營收YoY 11.4%；累計YoY 17.0%；TDCC近幾週400張與1000張同步累積,2362,藍天,TWSE,初步觀察,,11504.0,11.410717544489644,16.966695552737505,40.0,41.2,39.65,3.67,5.5,3.6,5.97,2.9,6.38,2.0,0.12,41.2,37.6,37.2,36.6,10.75,-0.85,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,0.0,0.0,,-100.0,-100.0,0.0,統一,今日無可用權證成交金額,,,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電腦及週邊設備業,0,,,False,False,False,False,False,False,False,False,False,電腦及週邊設備業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_14d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,1,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,8,rule_based_from_Taiwan_monthly_revenue_deadline,20260524,2,2,2,2,2,20260523,20260524,range_rebound,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。
