dimension,bucket,sample_size,avg_return_d5,avg_return_d10,avg_return_d20,avg_relative_return_vs_benchmark_d5,avg_relative_return_vs_benchmark_d20,effective_count,pending_count,last_updated
event_type,capacity_expansion,2,,,,,,0,2,2026-06-21 18:26:53 Asia/Taipei
event_type,investor_conference,22,,,,,,0,22,2026-06-21 18:26:53 Asia/Taipei
event_type,material_information,163,-10.72,-11.50,-8.91,-5.47,-9.28,0,158,2026-06-21 18:26:53 Asia/Taipei
event_type,new_order,34,,,,,,0,34,2026-06-21 18:26:53 Asia/Taipei
event_type,product_certification,7,,,,,,0,7,2026-06-21 18:26:53 Asia/Taipei
event_type,quarterly_financial,699,,,,,,0,699,2026-06-21 18:26:53 Asia/Taipei
event_type,shareholder_meeting,150,,,,,,0,150,2026-06-21 18:26:53 Asia/Taipei
catalyst_confidence,high,1077,-10.72,-11.50,-8.91,-5.47,-9.28,0,1072,2026-06-21 18:26:53 Asia/Taipei
price_reaction_level,blank,3,,,,,,0,0,2026-06-21 18:26:53 Asia/Taipei
price_reaction_level,blank,1074,-10.72,-11.50,-8.91,-5.47,-9.28,0,1072,2026-06-21 18:26:53 Asia/Taipei
success_label,failed,1,-19.22,-19.66,,-11.72,,0,0,2026-06-21 18:26:53 Asia/Taipei
success_label,missing_price_history,3,,,,,,0,0,2026-06-21 18:26:53 Asia/Taipei
success_label,mixed_or_pending,1,-2.23,-3.34,-8.91,0.77,-9.28,0,0,2026-06-21 18:26:53 Asia/Taipei
success_label,pending,1072,,,,,,0,1072,2026-06-21 18:26:53 Asia/Taipei
