股票代號,股票名稱,上市櫃產業,基本族群,主流/非主流,熱門族群1,熱門族群2,熱門族群3,熱門族群4,熱門族群5,備註
0050,元大台灣50,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
0051,元大中型100,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
0052,富邦科技,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
0053,元大電子,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
0055,元大MSCI金融,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
0056,元大高股息,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
0057,富邦摩台,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
0061,元大寶滬深,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
006201,元大富櫃50,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
006203,元大MSCI台灣,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
006204,永豐臺灣加權,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
006205,富邦上証,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
006206,元大上證50,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
006207,復華滬深,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
006208,富邦台50,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00636,國泰中國A50,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00639,富邦深100,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00643,群益深証中小,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00645,富邦日本,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00646,元大S&P500,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00652,富邦印度,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00657,國泰日經225,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00660,元大歐洲50,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00661,元大日經225,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00662,富邦NASDAQ,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00668,國泰美國道瓊,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00678,群益那斯達克生技,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00690,兆豐藍籌30,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00692,富邦公司治理,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00700,富邦恒生國企,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00701,國泰股利精選30,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00702,國泰標普低波高息,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00703,台新MSCI中國,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00709,富邦歐洲,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00712,復華富時不動產,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00713,元大台灣高息低波,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00714,群益道瓊美國地產,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00717,富邦美國特別股,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00728,第一金工業30,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00730,富邦臺灣優質高息,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00731,復華富時高息低波,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00733,富邦臺灣中小,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00735,國泰臺韓科技,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00736,國泰新興市場,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00737,國泰AI機器人,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00739,元大MSCI A股,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00752,中信中國50,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00757,統一FANG+,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00762,元大全球AI,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00770,國泰北美科技,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00771,元大US高息特別股,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00783,富邦中証500,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00830,國泰費城半導體,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00850,元大臺灣ESG永續,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00851,台新全球AI,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00858,永豐美國500大,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00861,元大全球未來通訊,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00875,國泰網路資安,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00876,元大全球5G,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00877,復華中國5G,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00878,國泰永續高股息,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00881,國泰台灣科技龍頭,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00882,中信中國高股息,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00885,富邦越南,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00886,永豐美國科技,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00887,永豐中國科技50大,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00888,永豐台灣ESG,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00891,中信關鍵半導體,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00892,富邦台灣半導體,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00893,國泰智能電動車,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00894,中信小資高價30,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00895,富邦未來車,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00896,中信綠能及電動車,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
00897,富邦基因免疫生技,指數 / ETF / ETN商品,指數 / ETF / ETN商品,非主流,,,,,,
