model_id,overlay_model_id,research_id,tdcc_list_type,tdcc_list_name_zh,rank_bucket,rank_bucket_name_zh,trigger_id,trigger_name_zh,confluence_scope,confluence_scope_zh,confluence_id,confluence_name_zh,entry_rule_id,entry_rule_zh,stop_loss_rule_id,stop_loss_rule_zh,exit_rule_id,exit_rule_zh,metric_sample_scope,sample_size,unique_signal_events,unique_confirmation_events,unique_stocks,win_rate,avg_return,median_return,max_drawdown,avg_mfe,avg_mae,avg_holding_days,profit_factor,avg_tdcc_rank,avg_tdcc_ranking_score,avg_tdcc_signal_age_days,out_of_sample_size,out_of_sample_win_rate,out_of_sample_avg_return,out_of_sample_median_return,out_of_sample_pass,confidence_status,approved_for_daily,ranking_research_score,ranking_research_rank,risk_notes_zh,generated_at,data_start_date,data_end_date,out_of_sample_start_date
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,pullback_5ma_confirmed,pullback_5ma_confirmed,operation_trigger,確認型態,all_confirmed_volume_breakout,全部已確認放量攻擊,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,5,5,4,4,80.0,21.1515,19.6429,-14.6444,28.565,-7.6761,10.0,10.3615,6.4,63.336,0.6,5,80.0,21.1515,19.6429,False,low,False,-95.0,1,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,operation_trigger,確認型態,all_confirmed_volume_breakout,全部已確認放量攻擊,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,4,4,4,3,25.0,-4.9326,-12.797,-19.2661,13.3224,-13.7878,7.75,0.5053,6.0,72.2275,1.5,4,25.0,-4.9326,-12.797,False,low,False,-96.0,2,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,operation_classification,放量攻擊分類,locked_limit_up_breakout,鎖量漲停突破,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,4,4,4,3,25.0,-4.9326,-12.797,-19.2661,13.3224,-13.7878,7.75,0.5053,6.0,72.2275,1.5,4,25.0,-4.9326,-12.797,False,low,False,-96.0,3,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,operation_attack_method,攻擊方式,locked_limit_up,鎖量漲停,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,4,4,4,3,25.0,-4.9326,-12.797,-19.2661,13.3224,-13.7878,7.75,0.5053,6.0,72.2275,1.5,4,25.0,-4.9326,-12.797,False,low,False,-96.0,4,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,operation_price_position,位階,high_position,高位階,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,4,4,4,3,25.0,-4.9326,-12.797,-19.2661,13.3224,-13.7878,7.75,0.5053,6.0,72.2275,1.5,4,25.0,-4.9326,-12.797,False,low,False,-96.0,5,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,operation_attack_position,攻擊方式+位階,locked_limit_up__high_position,鎖量漲停 + 高位階,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,4,4,4,3,25.0,-4.9326,-12.797,-19.2661,13.3224,-13.7878,7.75,0.5053,6.0,72.2275,1.5,4,25.0,-4.9326,-12.797,False,low,False,-96.0,6,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,pullback_5ma_confirmed,pullback_5ma_confirmed,operation_price_position,位階,high_position,高位階,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,4,4,4,4,75.0,15.9734,16.6636,-14.6444,24.4058,-8.6215,10.0,6.6558,5.5,67.0125,0.75,4,75.0,15.9734,16.6636,False,low,False,-96.0,7,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,pullback_5ma_confirmed,pullback_5ma_confirmed,operation_classification,放量攻擊分類,high_position_breakout,高位階突破,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,2,2,2,2,100.0,27.7739,27.7739,-10.9474,36.8114,-7.4208,10.0,999.0,7.0,57.57,0.0,2,100.0,27.7739,27.7739,False,low,False,-98.0,8,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,pullback_5ma_confirmed,pullback_5ma_confirmed,operation_classification,放量攻擊分類,locked_limit_up_breakout,鎖量漲停突破,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,2,2,2,2,50.0,4.1729,4.1729,-14.6444,12.0001,-9.8222,10.0,1.7388,4.0,76.455,1.5,2,50.0,4.1729,4.1729,False,low,False,-98.0,9,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,consecutive_accumulation,連續累積排名,top_10,前10名,pullback_5ma_confirmed,pullback_5ma_confirmed,operation_attack_method,攻擊方式,locked_limit_up,鎖量漲停,confirmation_next_open,確認日收盤後才列入；下一個交易日開盤價進場。,signal_low_stop,持有期間觸及訊號K低點先停損。,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,mature_selected_operation_only,2,2,2,2,50.0,4.1729,4.1729,-14.6444,12.0001,-9.8222,10.0,1.7388,4.0,76.455,1.5,2,50.0,4.1729,4.1729,False,low,False,-98.0,10,research only; entry uses confirmation next open; tdcc overlay uses confirmation-date as-of data; approved_for_daily remains False,2026-06-18 12:55:22 Asia/Taipei,20250508,20260529,20260129
