report_kind,section_id,section_name_zh,section_rank,tdcc_list_type,tdcc_rank,signal_date,source_tdcc_dataset_id,stock_id,stock_name,theme,tdcc_phase_group_zh,risk_bucket,risk_bucket_zh,tdcc_score,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_weighted_weekly_increase_score,tdcc_effective_increase_count,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_effective_streak_weeks,tdcc_high_pair_streak_bonus,tdcc_consecutive_up_weeks,model_id,model_name_zh,model_rank,tdcc_model_rank_in_list,model_score,model_source,source_hit_labels_zh,why_selected_zh,risk_tags_zh,next_confirmation_zh,recommended_usage_zh,report_usage_zh,operation_note_zh
full,weekly_increase,當週增幅排名,1,weekly_increase,1,20260731,tdcc-20260731-0b236a2d4a043618,4989,榮科,電子零組件業,價格資料不足,insufficient_data,資料不足,172.33,172.33,172.33,13.809999999999999,14.419999999999998,14.52,16.53,152.33,4,15.0,5.0,12843.97,0.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；價格資料不足,資料不足,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,2,weekly_increase,2,20260731,tdcc-20260731-0b236a2d4a043618,5321,美而快,數位雲端,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,67.01,67.01,67.01,4.539999999999999,5.239999999999995,5.810000000000002,6.140000000000001,57.01,4,15.0,5.0,445.4,10.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；20日均量低於1000張；股價領先 TDCC / 追高風險,股價已領先,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,3,weekly_increase,3,20260731,tdcc-20260731-0b236a2d4a043618,5475,德宏,玻纖布,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,49.31,49.31,54.31,1.9500000000000028,2.809999999999995,3.940000000000005,2.480000000000004,29.31,4,15.0,5.0,2917.5,0.0,2,5.0,4,,,,,,,,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 與股價背離,籌碼與股價背離,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,4,weekly_increase,4,20260731,tdcc-20260731-0b236a2d4a043618,8112,至上,電子通路業,TDCC 領先股價 / 潛伏吸籌,strong_but_pre_move,籌碼強但尚未發動,42.42,42.42,47.42,2.1199999999999974,2.269999999999996,2.1199999999999974,2.3499999999999943,22.42,4,15.0,5.0,16707.01,0.0,2,5.0,2,,,,,,,,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 領先股價 / 潛伏吸籌,籌碼強但尚未發動,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,5,weekly_increase,5,20260731,tdcc-20260731-0b236a2d4a043618,4939,亞電,電子零組件業,價格資料不足,insufficient_data,資料不足,41.83,41.83,41.83,1.8200000000000003,1.3300000000000018,1.3300000000000018,3.34,21.83,4,15.0,5.0,18099.7,0.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；價格資料不足,資料不足,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,6,weekly_increase,6,20260731,tdcc-20260731-0b236a2d4a043618,4541,晟田,其他,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,41.38,41.38,46.38,0.10999999999999943,2.1699999999999946,5.27,2.780000000000001,31.38,3,10.0,0.0,13950.25,0.0,2,5.0,2,,,,,,,,有效級距增加 3/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 與股價背離,籌碼與股價背離,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,7,weekly_increase,7,20260731,tdcc-20260731-0b236a2d4a043618,2375,凱美,被動元件,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,41.16,41.16,41.16,1.0800000000000018,2.0,3.919999999999998,2.3299999999999983,26.16,4,15.0,0.0,10741.23,0.0,1,0.0,2,,,,,,,,有效級距增加 4/4（門檻 >0.5）；TDCC 與股價背離,籌碼與股價背離,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,8,weekly_increase,8,20260731,tdcc-20260731-0b236a2d4a043618,5227,立凱-KY,電子零組件業,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,37.37,37.37,42.37,2.66,3.5799999999999983,1.5700000000000003,0.7099999999999973,17.37,4,15.0,5.0,1156.1,0.0,2,5.0,2,,,,,,,,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；股價領先 TDCC / 追高風險,股價已領先,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,9,weekly_increase,9,20260731,tdcc-20260731-0b236a2d4a043618,4716,大立,化學工業,TDCC 領先股價 / 潛伏吸籌,strong_but_pre_move,籌碼強但尚未發動,34.96,34.96,34.96,1.5300000000000011,1.5499999999999972,2.1900000000000013,2.1900000000000013,19.96,4,15.0,0.0,1764.0,0.0,1,0.0,4,,,,,,,,有效級距增加 4/4（門檻 >0.5）；TDCC 領先股價 / 潛伏吸籌,籌碼強但尚未發動,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,10,weekly_increase,10,20260731,tdcc-20260731-0b236a2d4a043618,6207,雷科,電子零組件業,價格資料不足,insufficient_data,資料不足,34.76,34.76,34.76,2.6400000000000006,3.6799999999999997,0.6800000000000015,0.6800000000000015,14.76,4,15.0,5.0,9417.05,0.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；價格資料不足,資料不足,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,11,weekly_increase,11,20260731,tdcc-20260731-0b236a2d4a043618,7788,松川精密,電子零組件業,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,34.04,34.04,34.04,1.5300000000000011,1.990000000000002,1.2299999999999969,1.2100000000000009,14.04,4,15.0,5.0,1846.26,0.0,1,0.0,2,,,,,,,,有效級距增加 4/4（門檻 >0.5）；TDCC 與股價背離,籌碼與股價背離,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,12,weekly_increase,12,20260731,tdcc-20260731-0b236a2d4a043618,2351,順德,半導體業,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,34.02,34.02,34.02,0.5799999999999983,1.3500000000000085,1.2600000000000051,1.7399999999999949,14.02,4,15.0,5.0,5546.93,0.0,1,0.0,2,,,,,,,,有效級距增加 4/4（門檻 >0.5）；TDCC 與股價背離,籌碼與股價背離,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,13,weekly_increase,13,20260731,tdcc-20260731-0b236a2d4a043618,2485,兆赫,通信網路業,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,34.0,34.0,44.0,1.1899999999999977,1.8500000000000014,2.0100000000000016,2.020000000000003,19.0,4,15.0,0.0,5511.37,0.0,3,10.0,5,,,,,,,,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 3 週；TDCC 與股價背離,籌碼與股價背離,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
