model_id,pdf_view,pdf_section,pdf_section_zh,row_type,operation_asof_date,operation_source_date_status,display_order,stock_id,stock_name,stock_display,operation_status,operation_status_zh,quality_status_zh,matched_trigger_ids,selected_trigger_id,selected_confirmation_date,selected_trigger_priority,trigger_zh,entry_basis_zh,entry_price_status_zh,stop_basis_zh,exit_rule_zh,operation_score,tdcc_score,pattern_score,risk_penalty,final_rank_score,rank_reason_zh,entry_rule_id,entry_price_basis,entry_date,entry_price,stop_loss_rule_id,stop_loss_price,stop_loss_label_zh,exit_rule_id,planned_holding_days,operation_age_days,signal_date,confirmation_date,pending_age_zh,pending_group_zh,pending_confirmation_zh,same_stock_pending_count,tdcc_status_zh,sample_size,win_rate_zh,avg_return_zh,median_return_zh,confidence_zh,evidence_match_status,evidence_tdcc_list_type,evidence_rank_bucket,evidence_confluence_scope,evidence_confluence_id,evidence_key,evidence_out_of_sample_pass,research_score,pdf_note_zh,daily_signal_date,daily_volume_model_signal_count,adapter_source,adapter_source_status,approval_source,approved_for_daily,operation_module_approved_for_daily,approval_status,operation_module_id,approval_version,operation_directive_level,row_action_status,buy_rank_eligible,buy_filter_id,approval_note_zh,adapter_note_zh,generated_at
volume_range_breakout,highlight,confirmed_operation,已確認操作,empty_state,20260618,ready,0,,,目前無資料,confirmed_operation,已確認操作,目前無資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,empty_state,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,目前沒有符合研究證據門檻的已確認操作列。,2026-06-19 05:38:30 Asia/Taipei
volume_range_breakout,highlight,active_operation,操作中,data,20260618,ready,1,2243,宏旭-KY,2243 宏旭-KY,active_operation,操作中,已進場追蹤,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260612,2,隔日突破訊號高點,確認日收盤後列入，下一個交易日開盤價進場。,已進場追蹤；進場日 6/15 開盤價 39.3,跌破 6/11 最低價 30.3,先跌破停損基準出場，否則最多持有至第 10 個交易日收盤。,,,,,,,confirmation_next_open,next_open_after_confirmation,20260615,39.3,signal_low_stop,30.3,6/11最低點,signal_low_stop_or_fixed_10d_close,10,5,20260611,20260612,,,,1,weekly_increase rank 6,10,70.00%,21.86%,16.99%,low,positive_row_evidence,weekly_increase,top_10,operation_attack_position,locked_limit_up__high_position,weekly_increase|top_10|next_day_break_signal_high_confirmed|operation_attack_position|locked_limit_up__high_position,True,,,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,active_operation,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-19 05:38:30 Asia/Taipei
volume_range_breakout,highlight,active_operation,操作中,data,20260618,ready,2,2484,希華,2484 希華,active_operation,操作中,已進場追蹤,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,next_day_break_signal_high_confirmed,20260612,2,隔日突破訊號高點,確認日收盤後列入，下一個交易日開盤價進場。,已進場追蹤；進場日 6/15 開盤價 68.1,跌破 6/11 最低價 57.2,先跌破停損基準出場，否則最多持有至第 10 個交易日收盤。,,,,,,,confirmation_next_open,next_open_after_confirmation,20260615,68.1,signal_low_stop,57.2,6/11最低點,signal_low_stop_or_fixed_10d_close,10,5,20260611,20260612,,,,1,weekly_increase rank 10,15,60.00%,15.78%,11.94%,low,positive_row_evidence,weekly_increase,top_10,operation_price_position,high_position,weekly_increase|top_10|next_day_break_signal_high_confirmed|operation_price_position|high_position,True,,,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,active_operation,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-19 05:38:30 Asia/Taipei
volume_range_breakout,full,confirmed_operation,已確認操作,empty_state,20260618,ready,0,,,目前無資料,confirmed_operation,已確認操作,目前無資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,empty_state,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,目前沒有符合研究證據門檻的已確認操作列。,2026-06-19 05:38:30 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260618,ready,1,4976,佳凌,4976 佳凌,confirmed_unranked_operation,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,4.0,0.0,5.0,0.0,95.0,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260617,20260618,,,,1,no_tdcc,1521,37.74%,0.68%,-3.86%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_price_position,high_position,no_tdcc|all|next_day_break_signal_high_confirmed|operation_price_position|high_position,False,95.0,連續過熱,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-19 05:38:30 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260618,ready,1,6645,金萬林-創,6645 金萬林-創,confirmed_unranked_operation,已確認但未通過買入排名門檻,未通過買入排名門檻,pullback_5ma_confirmed,pullback_5ma_confirmed,20260618,1,回測 5 日線後站回,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,,,,,,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,3,20260615,20260618,,,,1,no_tdcc,275,41.09%,2.92%,-1.28%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_classification,high_position_breakout,no_tdcc|all|pullback_5ma_confirmed|operation_classification|high_position_breakout,False,74.0,依模型風險欄位管理,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-19 05:38:30 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260618,ready,2,2618,長榮航,2618 長榮航,confirmed_unranked_operation,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,20260618,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,0.0,0.0,2.4,0.0,72.7,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260617,20260618,,,,1,no_tdcc,282,42.91%,1.28%,-2.09%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_attack_method,general_breakout,no_tdcc|all|next_day_break_signal_high_confirmed|operation_attack_method|general_breakout,False,72.7,依模型風險欄位管理,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-19 05:38:30 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260618,ready,3,2302,麗正,2302 麗正,confirmed_unranked_operation,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,4.0,0.0,4.5,0.0,77.6,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260617,20260618,,,,1,no_tdcc,282,42.91%,1.28%,-2.09%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_attack_method,general_breakout,no_tdcc|all|next_day_break_signal_high_confirmed|operation_attack_method|general_breakout,False,77.6,連續過熱,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-19 05:38:30 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260618,ready,4,6742,澤米,6742 澤米,confirmed_unranked_operation,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,4.0,0.0,3.2,0.0,73.3,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260617,20260618,,,,1,no_tdcc,1521,37.74%,0.68%,-3.86%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_price_position,high_position,no_tdcc|all|next_day_break_signal_high_confirmed|operation_price_position|high_position,False,73.3,依模型風險欄位管理,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-19 05:38:30 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260618,ready,5,2332,友訊,2332 友訊,confirmed_unranked_operation,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,4.0,0.0,1.4,0.0,72.8,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260617,20260618,,,,1,no_tdcc,1521,37.74%,0.68%,-3.86%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_price_position,high_position,no_tdcc|all|next_day_break_signal_high_confirmed|operation_price_position|high_position,False,72.8,依模型風險欄位管理,20260618,22,daily_candidate_model_signal_log+daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-19 05:38:30 Asia/Taipei
