as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates
20260515,78.22,-0.01999999999999602,0.03999999999999204,,77.62,-0.01999999999999602,0.04000000000000625,,77.62,-0.01999999999999602,0.04000000000000625,,77.62,-0.01999999999999602,0.04000000000000625,,0,False,False,False,,,tdcc-20260731-0b236a2d4a043618,complete,
20260522,78.23,0.010000000000005116,-0.009999999999990905,0.04999999999999716,77.63,0.009999999999990905,-0.010000000000005116,0.04999999999999716,77.63,0.009999999999990905,-0.010000000000005116,0.04999999999999716,77.63,0.009999999999990905,-0.010000000000005116,0.04999999999999716,1,True,True,True,,,tdcc-20260731-0b236a2d4a043618,complete,
20260529,78.26,0.030000000000001137,0.04000000000000625,0.020000000000010232,77.66,0.030000000000001137,0.03999999999999204,0.01999999999999602,77.66,0.030000000000001137,0.03999999999999204,0.01999999999999602,77.66,0.030000000000001137,0.03999999999999204,0.01999999999999602,2,True,True,True,,,tdcc-20260731-0b236a2d4a043618,complete,
20260605,78.76,0.5,0.5300000000000011,0.5400000000000063,77.66,0.0,0.030000000000001137,0.03999999999999204,77.66,0.0,0.030000000000001137,0.03999999999999204,77.66,0.0,0.030000000000001137,0.03999999999999204,3,False,False,False,,,tdcc-20260731-0b236a2d4a043618,complete,
20260612,78.79,0.030000000000001137,0.5300000000000011,0.5600000000000023,77.67,0.010000000000005116,0.010000000000005116,0.04000000000000625,77.67,0.010000000000005116,0.010000000000005116,0.04000000000000625,77.67,0.010000000000005116,0.010000000000005116,0.04000000000000625,4,True,True,True,,,tdcc-20260731-0b236a2d4a043618,complete,
20260618,78.69,-0.10000000000000853,-0.07000000000000739,0.4299999999999926,77.67,0.0,0.010000000000005116,0.010000000000005116,77.67,0.0,0.010000000000005116,0.010000000000005116,77.67,0.0,0.010000000000005116,0.010000000000005116,0,False,False,False,,,tdcc-20260731-0b236a2d4a043618,complete,
20260626,78.28,-0.4099999999999966,-0.5100000000000051,-0.480000000000004,77.68,0.010000000000005116,0.010000000000005116,0.020000000000010232,77.68,0.010000000000005116,0.010000000000005116,0.020000000000010232,77.68,0.010000000000005116,0.010000000000005116,0.020000000000010232,1,False,True,False,,,tdcc-20260731-0b236a2d4a043618,complete,
20260703,78.33,0.04999999999999716,-0.35999999999999943,-0.46000000000000796,77.73,0.04999999999999716,0.060000000000002274,0.060000000000002274,77.73,0.04999999999999716,0.060000000000002274,0.060000000000002274,77.73,0.04999999999999716,0.060000000000002274,0.060000000000002274,2,True,True,True,,,tdcc-20260731-0b236a2d4a043618,complete,
20260709,78.39,0.060000000000002274,0.10999999999999943,-0.29999999999999716,77.79,0.060000000000002274,0.10999999999999943,0.12000000000000455,77.79,0.060000000000002274,0.10999999999999943,0.12000000000000455,77.79,0.060000000000002274,0.10999999999999943,0.12000000000000455,3,True,True,True,,,tdcc-20260731-0b236a2d4a043618,complete,
20260717,78.39,0.0,0.060000000000002274,0.10999999999999943,77.79,0.0,0.060000000000002274,0.10999999999999943,77.79,0.0,0.060000000000002274,0.10999999999999943,77.79,0.0,0.060000000000002274,0.10999999999999943,0,False,False,False,,,tdcc-20260731-0b236a2d4a043618,complete,
20260724,78.39,0.0,0.0,0.060000000000002274,77.79,0.0,0.0,0.060000000000002274,77.79,0.0,0.0,0.060000000000002274,77.79,0.0,0.0,0.060000000000002274,0,False,False,False,,,tdcc-20260731-0b236a2d4a043618,complete,
20260731,78.41,0.01999999999999602,0.01999999999999602,0.01999999999999602,77.81,0.01999999999999602,0.01999999999999602,0.01999999999999602,77.81,0.01999999999999602,0.01999999999999602,0.01999999999999602,77.81,0.01999999999999602,0.01999999999999602,0.01999999999999602,1,True,True,True,,,tdcc-20260731-0b236a2d4a043618,complete,
