as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates
20260508,16.78,0.33000000000000185,,,15.12,0.08000000000000007,,,13.92,0.0,,,13.43,0.0,,,1,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260515,17.31,0.5299999999999976,0.8599999999999994,,15.2,0.08000000000000007,0.16000000000000014,,14.4,0.4800000000000004,0.4800000000000004,,13.43,0.0,0.0,,2,False,True,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260522,16.71,-0.5999999999999979,-0.07000000000000028,0.26000000000000156,14.74,-0.4599999999999991,-0.379999999999999,-0.29999999999999893,13.92,-0.4800000000000004,0.0,0.0,13.43,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260529,16.95,0.23999999999999844,-0.35999999999999943,0.16999999999999815,14.65,-0.08999999999999986,-0.5499999999999989,-0.46999999999999886,13.92,0.0,-0.4800000000000004,0.0,13.43,0.0,0.0,0.0,1,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260605,16.44,-0.509999999999998,-0.2699999999999996,-0.8699999999999974,13.92,-0.7300000000000004,-0.8200000000000003,-1.2799999999999994,13.92,0.0,0.0,-0.4800000000000004,13.43,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260612,16.1,-0.33999999999999986,-0.8499999999999979,-0.6099999999999994,13.92,0.0,-0.7300000000000004,-0.8200000000000003,13.92,0.0,0.0,0.0,13.43,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260618,16.38,0.2799999999999976,-0.060000000000002274,-0.5700000000000003,14.94,1.0199999999999996,1.0199999999999996,0.28999999999999915,13.92,0.0,0.0,0.0,13.43,0.0,0.0,0.0,1,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260626,17.16,0.7800000000000011,1.0599999999999987,0.7199999999999989,15.47,0.5300000000000011,1.5500000000000007,1.5500000000000007,15.06,1.1400000000000006,1.1400000000000006,1.1400000000000006,14.03,0.5999999999999996,0.5999999999999996,0.5999999999999996,2,True,True,True,,,tdcc-20260724-88f3a903b384007d,complete,
20260703,17.99,0.8299999999999983,1.6099999999999994,1.889999999999997,16.09,0.6199999999999992,1.1500000000000004,2.17,14.96,-0.09999999999999964,1.040000000000001,1.040000000000001,14.96,0.9300000000000015,1.5300000000000011,1.5300000000000011,3,False,True,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260709,17.18,-0.8099999999999987,0.019999999999999574,0.8000000000000007,15.78,-0.3100000000000005,0.3099999999999987,0.8399999999999999,14.99,0.02999999999999936,-0.07000000000000028,1.0700000000000003,14.44,-0.5200000000000014,0.41000000000000014,1.0099999999999998,4,False,True,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260717,17.32,0.14000000000000057,-0.6699999999999982,0.16000000000000014,16.31,0.5299999999999994,0.21999999999999886,0.8399999999999981,14.44,-0.5500000000000007,-0.5200000000000014,-0.620000000000001,14.44,0.0,-0.5200000000000014,0.41000000000000014,5,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,
20260724,17.46,0.14000000000000057,0.28000000000000114,-0.5299999999999976,15.32,-0.9899999999999984,-0.4599999999999991,-0.7699999999999996,14.19,-0.25,-0.8000000000000007,-0.7700000000000014,14.19,-0.25,-0.25,-0.7700000000000014,6,False,False,False,,,tdcc-20260724-88f3a903b384007d,complete,
