as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260402,59.1,0.030000000000001137,55.75,0.030000000000001137,53.25,0.030000000000001137,51.97,0.030000000000001137,5,True,True,True,,
20260410,59.12,0.01999999999999602,55.77,0.020000000000003126,53.27,0.020000000000003126,51.99,0.020000000000003126,6,True,True,True,,
20260417,58.93,-0.18999999999999773,55.92,0.14999999999999858,53.42,0.14999999999999858,52.14,0.14999999999999858,7,False,True,False,,
20260424,59.04,0.10999999999999943,56.03,0.10999999999999943,53.53,0.10999999999999943,52.25,0.10999999999999943,8,True,True,True,,
20260430,59.05,0.00999999999999801,56.04,0.00999999999999801,53.54,0.00999999999999801,52.26,0.00999999999999801,9,True,True,True,,
20260508,59.14,0.09000000000000341,56.13,0.09000000000000341,52.5,-1.0399999999999991,52.5,0.240000000000002,10,False,True,False,,
20260515,59.48,0.3399999999999963,56.16,0.02999999999999403,52.52,0.020000000000003126,52.52,0.020000000000003126,11,True,True,True,,
20260522,59.55,0.07000000000000028,56.23,0.07000000000000028,52.59,0.07000000000000028,52.59,0.07000000000000028,12,True,True,True,,
20260529,59.29,-0.259999999999998,56.29,0.060000000000002274,52.65,0.05999999999999517,52.65,0.05999999999999517,13,False,True,False,,
20260605,59.35,0.060000000000002274,56.35,0.060000000000002274,52.71,0.060000000000002274,52.71,0.060000000000002274,14,True,True,True,,
20260612,59.27,-0.0799999999999983,56.36,0.00999999999999801,52.72,0.00999999999999801,52.72,0.00999999999999801,15,False,True,False,,
20260618,59.3,0.02999999999999403,56.39,0.030000000000001137,52.75,0.030000000000001137,52.75,0.030000000000001137,16,True,True,True,,
