as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260402,76.9,-0.23999999999999488,73.22,0.09999999999999432,70.68,0.05000000000001137,68.61,0.04999999999999716,1,False,True,False,,
20260410,76.98,0.0799999999999983,73.3,0.0799999999999983,70.75,0.06999999999999318,68.67,0.060000000000002274,2,True,True,True,,
20260417,77.08,0.09999999999999432,73.4,0.10000000000000853,70.86,0.10999999999999943,68.76,0.09000000000000341,3,True,True,True,,
20260424,77.8,0.7199999999999989,73.5,0.09999999999999432,70.92,0.060000000000002274,68.82,0.05999999999998806,4,True,True,True,,
20260430,77.95,0.15000000000000568,73.64,0.14000000000000057,71.06,0.14000000000000057,68.96,0.14000000000000057,5,True,True,True,,
20260508,78.15,0.20000000000000284,73.82,0.1799999999999926,71.25,0.18999999999999773,69.15,0.19000000000001194,6,True,True,True,,
20260515,78.38,0.22999999999998977,74.05,0.23000000000000398,71.46,0.20999999999999375,69.36,0.20999999999999375,7,True,True,True,,
20260522,78.66,0.28000000000000114,74.27,0.21999999999999886,71.66,0.20000000000000284,69.56,0.20000000000000284,8,True,True,True,,
20260529,78.14,-0.519999999999996,73.91,-0.35999999999999943,72.33,0.6700000000000017,69.6,0.03999999999999204,9,False,True,False,,
20260605,77.98,-0.1599999999999966,73.33,-0.5799999999999983,72.22,-0.10999999999999943,69.5,-0.09999999999999432,0,False,False,False,,
20260612,77.75,-0.23000000000000398,73.87,0.5400000000000063,72.27,0.04999999999999716,69.52,0.01999999999999602,1,False,True,False,,
20260618,77.76,0.010000000000005116,73.91,0.03999999999999204,72.31,0.04000000000000625,70.29,0.7700000000000102,2,True,True,True,,
