signal_date,report_bucket,stock_id,stock_name,model_id,model_name_zh,model_group,model_score,model_rank,effective_primary_theme,risk_penalty_tags,next_confirmation,base_model_score,operation_score,tdcc_score,pattern_score,risk_penalty,final_rank_score,rank_reason_zh,volume_position_bucket_120d,volume_shape_bucket,volume_ma60,volume_ma120,volume_ma60_gt_ma120,industry,primary_theme,secondary_themes,effective_structural_theme_bucket,effective_mainstream_label,report_line_memberships,mainstream_report_eligible,non_mainstream_report_eligible,dual_report_membership_flag,tdcc_status,warrant_flow_signal,score_components,candidate_source_row_ids,candidate_source_row_sha256s,candidate_source_categories,candidate_formal_outcome_sha256,candidate_presentation_source_artifact,candidate_presentation_source_artifact_sha256,candidate_presentation_source_row_sha256
20260529,mainstream,1471,首利,price_pullback_23ema,股價回檔模型,pdf_core_model,81.6,47,電子零組件業_待細分,,確認放量站上頸線/平台壓力，且收盤靠近高點。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1514,亞力,price_pullback_23ema,股價回檔模型,pdf_core_model,68.0,77,重電電網,tdcc_distribution_penalty,先看 TDCC 是否停止轉弱，再看價格能否守住 MA20/EMA23 與突破區。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1519,華城,price_pullback_23ema,股價回檔模型,pdf_core_model,62.5,106,重電電網,tdcc_distribution_penalty,先看 TDCC 是否停止轉弱，再看價格能否守住 MA20/EMA23 與突破區。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1536,和大,price_pullback_23ema,股價回檔模型,pdf_core_model,90.1,3,車用電子,,確認放量站上頸線/平台壓力，且收盤靠近高點。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1597,直得,price_pullback_23ema,股價回檔模型,pdf_core_model,83.5,28,機器人自動化,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1608,華榮,price_pullback_23ema,股價回檔模型,pdf_core_model,78.7,52,重電電網_電器電纜待細分,,確認放量站上頸線/平台壓力，且收盤靠近高點。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1612,宏泰,price_pullback_23ema,股價回檔模型,pdf_core_model,79.0,50,重電電網,,確認放量站上頸線/平台壓力，且收盤靠近高點。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1616,億泰,price_pullback_23ema,股價回檔模型,pdf_core_model,61.1,115,重電電網_電器電纜待細分,tdcc_distribution_penalty,回測23EMA或平台不破可建立部位；跌破23EMA後站不回或放量破平台需退出/降風險。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,1717,長興,price_pullback_23ema,股價回檔模型,pdf_core_model,67.0,86,特化材料,tdcc_distribution_penalty,先看 TDCC 是否停止轉弱，再看價格能否守住 MA20/EMA23 與突破區。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260529,mainstream,2323,中環,price_pullback_23ema,股價回檔模型,pdf_core_model,78.0,55,光電業_待細分,,等待量價、TDCC、相對強弱至少一項轉強。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
