generated_at,audit_id,audit_version,scope,source_artifact,source_status,history_rows,history_unique_stocks,history_revenue_period_count,history_revenue_period_min,history_revenue_period_max,history_source_table_date_count,history_source_table_date_min,history_source_table_date_max,signal_rows,signal_unique_stocks,signal_date_min,signal_date_max,asof_covered_rows,asof_row_coverage_pct,asof_covered_unique_stocks,asof_stock_coverage_pct,missing_history_stock_rows,missing_asof_rows,pre_first_source_table_rows,required_min_history_months,required_min_signal_row_coverage_pct,required_min_signal_stock_coverage_pct,formal_model_revenue_gate_ready,backfill_required,backfill_recommendation,blocker_reason,notes
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,canonical_monthly_revenue_history,data/monthly_revenue_history/monthly_revenue_history.csv,history_found,50987,1973,26,202405,202606,26,20240617,20260715,0,0,,,0,,0,,0,0,0,24,95.00,95.00,True,False,no_backfill_required,signal_scope_not_evaluated_in_history_row,Canonical full-market source history is evaluated for period depth only; model rows evaluate point-in-time signal coverage.
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,monthly_revenue_point_in_time_panel,output/latest/research_backtest/monthly_revenue_point_in_time_panel_latest.csv,panel_found,6512,960,2,202605,202606,16,20260615,20260709,0,0,,,0,,0,,0,0,0,24,95.00,95.00,False,True,do_not_use_candidate_snapshot_panel_as_full_market_backfill,coverage_limited_candidate_snapshot_observed_values_not_full_market_history,This panel can help research discussion only; it is not a validated full-market historical backfill source.
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,daily_model_signal_log_all_models,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,signal_rows_found,50987,1973,26,202405,202606,26,20240617,20260715,11747,971,20260529,20260715,11701,99.61,964,99.28,46,0,0,24,95.00,95.00,True,False,no_backfill_required_for_this_scope,,Close as-of join is measured from source_table_date <= signal_date; formal gate remains blocked until coverage thresholds pass.
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,model:price_pullback_23ema,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,signal_rows_found,50987,1973,26,202405,202606,26,20240617,20260715,3834,819,20260529,20260715,3807,99.30,813,99.27,27,0,0,24,95.00,95.00,True,False,no_backfill_required_for_this_scope,,Close as-of join is measured from source_table_date <= signal_date; formal gate remains blocked until coverage thresholds pass.
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,model:revenue_unreacted_range,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,signal_rows_found,50987,1973,26,202405,202606,26,20240617,20260715,3214,424,20260529,20260715,3214,100.00,424,100.00,0,0,0,24,95.00,95.00,True,False,no_backfill_required_for_this_scope,,Close as-of join is measured from source_table_date <= signal_date; formal gate remains blocked until coverage thresholds pass.
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,model:hot_theme_pullback,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,signal_rows_found,50987,1973,26,202405,202606,26,20240617,20260715,1147,135,20260601,20260715,1147,100.00,135,100.00,0,0,0,24,95.00,95.00,True,False,no_backfill_required_for_this_scope,,Close as-of join is measured from source_table_date <= signal_date; formal gate remains blocked until coverage thresholds pass.
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,model:pullback_short_reclaim,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,signal_rows_found,50987,1973,26,202405,202606,26,20240617,20260715,2246,707,20260529,20260715,2227,99.15,702,99.29,19,0,0,24,95.00,95.00,True,False,no_backfill_required_for_this_scope,,Close as-of join is measured from source_table_date <= signal_date; formal gate remains blocked until coverage thresholds pass.
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,model:tdcc_short_term_continuation_d5_d10,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,signal_rows_found,50987,1973,26,202405,202606,26,20240617,20260715,629,149,20260529,20260715,629,100.00,149,100.00,0,0,0,24,95.00,95.00,True,False,no_backfill_required_for_this_scope,,Close as-of join is measured from source_table_date <= signal_date; formal gate remains blocked until coverage thresholds pass.
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,model:tdcc_stealth_accumulation,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,signal_rows_found,50987,1973,26,202405,202606,26,20240617,20260715,555,225,20260529,20260605,555,100.00,225,100.00,0,0,0,24,95.00,95.00,True,False,no_backfill_required_for_this_scope,,Close as-of join is measured from source_table_date <= signal_date; formal gate remains blocked until coverage thresholds pass.
2026-07-15 21:41:07 Asia/Taipei,monthly_revenue_coverage_backfill_audit,coverage_backfill_audit_v1,model:volume_range_breakout_v2_high_position_volume_attack,output/history/daily_candidate_models/daily_candidate_model_signal_log.csv,signal_rows_found,50987,1973,26,202405,202606,26,20240617,20260715,16,11,20260709,20260715,16,100.00,11,100.00,0,0,0,24,95.00,95.00,True,False,no_backfill_required_for_this_scope,,Close as-of join is measured from source_table_date <= signal_date; formal gate remains blocked until coverage thresholds pass.
