report_kind,section_id,section_name_zh,section_rank,tdcc_list_type,tdcc_rank,signal_date,source_tdcc_dataset_id,stock_id,stock_name,theme,tdcc_phase_group_zh,risk_bucket,risk_bucket_zh,tdcc_score,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_weighted_weekly_increase_score,tdcc_effective_increase_count,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_effective_streak_weeks,tdcc_high_pair_streak_bonus,tdcc_consecutive_up_weeks,model_id,model_name_zh,model_rank,tdcc_model_rank_in_list,model_score,model_source,source_hit_labels_zh,why_selected_zh,risk_tags_zh,next_confirmation_zh,recommended_usage_zh,report_usage_zh,operation_note_zh
full,weekly_increase,當週增幅排名,1,weekly_increase,1,20260724,tdcc-20260724-88f3a903b384007d,3372,典範,半導體業,價格資料不足,insufficient_data,資料不足,95.53,95.53,95.53,7.759999999999998,8.259999999999998,7.510000000000005,7.18,75.53,4,15.0,5.0,1149.8,0.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；價格資料不足,資料不足,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,2,weekly_increase,2,20260724,tdcc-20260724-88f3a903b384007d,5227,立凱-KY,電子零組件業,TDCC 後股價過熱,strong_but_overheated,短線過熱,94.47,94.47,94.47,11.0,10.770000000000001,7.749999999999998,7.170000000000002,84.47,4,15.0,5.0,885.3,10.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；20日均量低於1000張；TDCC 後股價過熱,短線過熱,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,3,weekly_increase,3,20260724,tdcc-20260724-88f3a903b384007d,3605,宏致,電子零組件業,價格資料不足,insufficient_data,資料不足,75.04,75.04,75.04,3.8500000000000014,4.799999999999997,5.57,6.219999999999999,55.04,4,15.0,5.0,10884.96,0.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；價格資料不足,資料不足,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,4,weekly_increase,4,20260724,tdcc-20260724-88f3a903b384007d,3231,緯創,AI伺服器,TDCC 後股價過熱,strong_but_overheated,短線過熱,51.75,51.75,51.75,3.489999999999995,3.6199999999999974,3.6199999999999974,3.789999999999999,36.75,4,15.0,0.0,52849.18,0.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；TDCC 後股價過熱,短線過熱,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,5,weekly_increase,5,20260724,tdcc-20260724-88f3a903b384007d,3653,健策,電子零組件業,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,45.91,45.91,45.91,1.3299999999999983,1.7099999999999937,3.760000000000005,2.469999999999999,25.91,4,15.0,5.0,1206.97,0.0,1,0.0,4,,,,,,,,有效級距增加 4/4（門檻 >0.5）；股價領先 TDCC / 追高風險,股價已領先,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,6,weekly_increase,6,20260724,tdcc-20260724-88f3a903b384007d,3441,聯一光,光電業,價格資料不足,insufficient_data,資料不足,44.03,44.03,44.03,2.4499999999999993,2.7900000000000027,3.0,3.0000000000000018,29.03,4,15.0,0.0,2904.45,0.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；價格資料不足,資料不足,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,7,weekly_increase,7,20260724,tdcc-20260724-88f3a903b384007d,8112,至上,電子通路業,價格資料不足,insufficient_data,資料不足,43.73,43.73,43.73,2.3400000000000034,2.3700000000000045,2.6700000000000017,2.1600000000000037,23.73,4,15.0,5.0,17562.04,0.0,1,0.0,1,,,,,,,,有效級距增加 4/4（門檻 >0.5）；價格資料不足,資料不足,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,8,weekly_increase,8,20260724,tdcc-20260724-88f3a903b384007d,3163,波若威,通信網路業,價格資料不足,insufficient_data,資料不足,40.05,40.05,40.05,1.9399999999999977,1.2099999999999973,2.870000000000001,1.7699999999999996,20.05,4,15.0,5.0,2657.9,0.0,1,0.0,2,,,,,,,,有效級距增加 4/4（門檻 >0.5）；價格資料不足,資料不足,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,9,weekly_increase,9,20260724,tdcc-20260724-88f3a903b384007d,6525,捷敏-KY,半導體業,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,39.21,39.21,39.21,0.09000000000000341,1.0700000000000074,2.780000000000001,3.4099999999999966,24.21,3,10.0,5.0,5033.69,0.0,1,0.0,4,,,,,,,,有效級距增加 3/4（門檻 >0.5）；TDCC 與股價背離,籌碼與股價背離,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,10,weekly_increase,10,20260724,tdcc-20260724-88f3a903b384007d,6414,樺漢,電腦及週邊設備業,TDCC 後股價過熱,strong_but_overheated,短線過熱,37.5,37.5,37.5,1.1400000000000006,2.0,2.1599999999999966,2.720000000000006,22.5,4,15.0,0.0,2737.66,0.0,1,0.0,3,,,,,,,,有效級距增加 4/4（門檻 >0.5）；TDCC 後股價過熱,短線過熱,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
full,weekly_increase,當週增幅排名,11,weekly_increase,11,20260724,tdcc-20260724-88f3a903b384007d,6442,光聖,通信網路業,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,37.37,37.37,37.37,1.25,1.3299999999999983,1.2999999999999972,2.3900000000000006,17.37,4,15.0,5.0,2320.99,0.0,1,0.0,2,,,,,,,,有效級距增加 4/4（門檻 >0.5）；TDCC 與股價背離,籌碼與股價背離,用每日候選模型與價格位置確認可操作性。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,TDCC 排名用於籌碼追蹤，不單獨作為買進理由。,若價格已領先或過熱，需降為觀察；若仍在潛伏或初步確認，才進一步看每日候選模型。
