witness_id,period,company_id,market,industry_schema,report_scope,witness_type,metric_name,metric_initial_public_at,document_visible_upload_at,revision_public_at,initial_value,revision_value,current_visible_value,canonical_filename,official_url,request_contracts,primary_response_sha256,corroborating_sha256s,current_payload_sha256,captured_at,public_version_visibility,pit_eligible,formal_model_use_allowed,conclusion
2013Q1_2330_cr_upload,2013Q1,2330,sii,ci,cr,visible_pdf_upload,,,2013-05-15T14:26:07+08:00,,,,,201301_2330_AI1.pdf,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=2330;year=102;seamon=;mtype=A,8521042ec753b3d2395f6afdf5c38e0e135734c031c27db67c8022c16fab33d9,,,2026-07-16T14:46:49+08:00,one_current_canonical_filename_no_revision_selector,False,False,pdf_upload_time_only_not_xbrl_fact_or_revision_filed_at
2013Q1_5347_cr_upload,2013Q1,5347,otc,ci,cr,visible_pdf_upload,,,2013-05-06T14:04:13+08:00,,,,,201301_5347_AI1.pdf,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=5347;year=102;seamon=;mtype=A,4cd786421ee144e80e5e274fc7e895dd57b119f21b21d138c7d2306682690622,,,2026-07-16T14:46:49+08:00,one_current_canonical_filename_no_revision_selector,False,False,pdf_upload_time_only_not_xbrl_fact_or_revision_filed_at
2013Q1_2881_cr_upload,2013Q1,2881,sii,fh,cr,visible_pdf_upload,,,2013-05-30T09:46:03+08:00,,,,,201301_2881_AI1.pdf,https://doc.twse.com.tw/server-java/t57sb01,POST step=1;colorchg=1;co_id=2881;year=102;seamon=;mtype=A;check2858=Y,e3c4b9abe341f0391a1f41afc1fbe9b853970c30875fea49a0fb9e395c0d84af,,,2026-07-16T14:46:49+08:00,one_current_canonical_filename_no_revision_selector,False,False,pdf_upload_time_only_not_xbrl_fact_or_revision_filed_at
2013Q1_2816_ir_upload,2013Q1,2816,sii,ins,ir,visible_pdf_upload,,,2013-04-30T14:58:52+08:00,,,,,201301_2816_AI2.pdf,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=2816;year=102;seamon=;mtype=A,83fc61b4a444c132ba9e4c5ea7c7af4d1cbadcff97905bc63a1c9a9bdd2e2b74,,,2026-07-16T14:46:49+08:00,one_current_canonical_filename_no_revision_selector,False,False,pdf_upload_time_only_not_xbrl_fact_or_revision_filed_at
2013Q1_2816_ir_revision,2013Q1,2816,sii,ins,ir,revision_nonversioned,insurance_liabilities_and_special_surplus,,2013-04-30T14:58:52+08:00,2013-05-16T18:53:38+08:00,,,,201301_2816_AI2.pdf,https://mopsov.twse.com.tw/mops/web/ajax_t05st01,t57:GET step=1;colorchg=1;co_id=2816;year=102;seamon=;mtype=A|t05:POST step=2;TYPEK=sii;co_id=2816;year=102;spoke_date=20130516;spoke_time=185338;seq_no=1|t56:GET step=2;TYPEK=sii;CID=2816;YEAR_SEASON=201301;RID=3;DTYPE=I2;SKEY=1,cdeda2e1ae85b03409a2025f58d23c06d27b5e5647e5e0cacf9bf90a793035b1,t57=83fc61b4a444c132ba9e4c5ea7c7af4d1cbadcff97905bc63a1c9a9bdd2e2b74;t56=eb101c71b11be2e79fccba32c22843f5b4f224bed9e9ea86ffe08f3c96af0f23;pdf=df3bd64b27dfc2bf53a75f1560a152aed7361d2ba8ee9605715ed81709470e0b,df3bd64b27dfc2bf53a75f1560a152aed7361d2ba8ee9605715ed81709470e0b,2026-07-16T14:47:59+08:00,one_current_canonical_filename_no_before_after_payload_pair,False,False,visible_document_upload_precedes_correction_but_public_full_payload_versions_are_not_selectable
2025Q1_2330_cr_upload,2025Q1,2330,sii,ci,cr,visible_pdf_upload,,,2025-05-15T13:40:15+08:00,,,,,202501_2330_AI1.pdf,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=2330;year=114;seamon=;mtype=A,cfe39d9ba137ca012caf74ebddfdb30aba1f00b7d34e9141941a8649036f3878,,,2026-07-16T14:46:49+08:00,one_current_canonical_filename_no_revision_selector,False,False,pdf_upload_time_only_not_xbrl_fact_or_revision_filed_at
2025Q1_5347_cr_upload,2025Q1,5347,otc,ci,cr,visible_pdf_upload,,,2025-05-06T13:48:16+08:00,,,,,202501_5347_AI1.pdf,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=5347;year=114;seamon=;mtype=A,dcd2cc6710219df67a31c34f34c91938423e17a18c31f09baa6a0bfcaa0d23cf,,,2026-07-16T14:46:49+08:00,one_current_canonical_filename_no_revision_selector,False,False,pdf_upload_time_only_not_xbrl_fact_or_revision_filed_at
2025Q1_2881_cr_upload,2025Q1,2881,sii,fh,cr,visible_pdf_upload,,,2025-05-29T16:03:54+08:00,,,,,202501_2881_AI1.pdf,https://doc.twse.com.tw/server-java/t57sb01,POST step=1;colorchg=1;co_id=2881;year=114;seamon=;mtype=A;check2858=Y,4e17588aff0088db3a3ea6546b6f4d4001b61310aad4fc354ec9994ea6d18e7e,,,2026-07-16T14:46:49+08:00,one_current_canonical_filename_no_revision_selector,False,False,pdf_upload_time_only_not_xbrl_fact_or_revision_filed_at
2025Q1_2816_ir_upload,2025Q1,2816,sii,ins,ir,visible_pdf_upload,,,2025-05-12T12:22:03+08:00,,,,,202501_2816_AI2.pdf,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;co_id=2816;year=114;seamon=;mtype=A,71ef7f2d5c6e637943e4936467b4101556738850bc96469ceb90a3bd9c15221a,,,2026-07-16T14:46:49+08:00,one_current_canonical_filename_no_revision_selector,False,False,pdf_upload_time_only_not_xbrl_fact_or_revision_filed_at
2025Q1_4552_cr_revision_leakage,2025Q1,4552,sii,ci,cr,revision_leakage,basic_eps,2025-05-13T13:59:37+08:00,2025-05-13T15:22:01+08:00,2025-05-16T15:06:12+08:00,0.63,0.65,0.65,202501_4552_AI1.pdf,https://mopsov.twse.com.tw/mops/web/ajax_t05st01,t05_initial:POST step=2;TYPEK=sii;co_id=4552;year=114;spoke_date=20250513;spoke_time=135937;seq_no=2|t05_revision:POST step=2;TYPEK=sii;co_id=4552;year=114;spoke_date=20250516;spoke_time=150612;seq_no=1|t57:GET step=1;colorchg=1;co_id=4552;year=114;seamon=;mtype=A|t56:GET step=2;TYPEK=sii;CID=4552;YEAR_SEASON=202501;RID=4;DTYPE=I1;SKEY=1|xbrl:GET functionName=t164sb01;step=9;co_id=4552;year=2025;season=1;report_id=C,21aab3bf2402bd1ebf4dfdaf6eb3f7aa2b6ddb19e42e5baa635aa41ba45ed16a,t05_revision=beed0b027b4b677f63d2c61ee713032d85adcfca0e5c70ede7bd2cca62fc07c7;t56=ec66623bbe9d3ed2975317743339acaa5a26dc1ce72976193195244a565832b0;t57=34d6b6a44dab3dc1f2b1beb27ffef5b4243c70cd62c22a9ebc404d9a2eaff91e;pdf=99a7320d1c22d35c0b88166655f6912b6da26f53869ca1f0276afaa42cd20fd4,8d23008d8565964acf1c784102411a5e7217d86849ed239001740448c611f277,2026-07-16T14:47:59+08:00,one_current_canonical_filename_no_before_after_payload_pair,False,False,current_visible_xbrl_value_cannot_be_assigned_to_initial_public_time
