validator_path,validator_role,production_source_file,imported_production_symbols,independence_claim,allowed_evidence_use,notes
scripts/audit_daily_candidate_model_selection_correctness.py,implementation_consistency_audit,scripts/build_daily_candidate_model_layer.py,VOLUME_BREAKOUT_V2_HIGH_MODEL_ID;VOLUME_BREAKOUT_V2_LOW_MODEL_ID;VOLUME_BREAKOUT_V2_MID_MODEL_ID;active_price_attack_for_early_models;build_signals;build_specs;cond_neckline_volume_breakout_confirmation;cond_w_bottom_right;ema23_slope_proxy_up;near_ema23_or_support;price_pullback_obv_above_ma20;price_pullback_return20_0_25;price_pullback_tdcc_high_thresholds_up;volume_v2_model_memberships,False,implementation_consistency_only_not_promotion_proof,Imports the business implementation it checks and therefore cannot prove model correctness independently.
scripts/audit_daily_candidate_pipeline_integrity.py,implementation_consistency_audit,scripts/build_daily_candidate_model_layer.py,build_specs,False,implementation_consistency_only_not_promotion_proof,Checks pipeline assembly against the same production spec objects.
scripts/validate_daily_model_research_parity.py,production_research_contract_consistency,scripts/build_daily_candidate_model_layer.py,build_parameter_table;build_specs,False,contract_consistency_only_not_promotion_proof,Useful for parity drift but not an independent oracle for condition correctness.
scripts/validate_model_data_independence.py,independent_contract_ast_guard,scripts/build_daily_candidate_model_layer.py,,True,independent_ownership_and_ast_evidence,Parses source and registries without importing production business functions.
scripts/validate_revenue_unreacted_range_financial_statement_fail_closed.py,independent_contract_ast_guard,scripts/build_daily_candidate_model_layer.py,,True,independent_fail_closed_contract_ast_evidence,Parses the revenue model AST and governance artifacts without importing production business functions; financial-statement inputs and pre-v2 formal evidence remain fail closed.
scripts/validate_revenue_unreacted_range_monthly_revenue_cross_market_resolution.py,independent_source_lineage_validator,scripts/revenue_unreacted_range_monthly_revenue_cross_market_resolution.py,,True,independent_research_source_lineage_evidence_only_not_promotion_proof,Independently recomputes raw-row registry and canonical source lineage without importing the resolver; evidence remains research-only and cannot prove promotion readiness.
scripts/validate_revenue_unreacted_range_low_mid_falling_candidate_audit.py,independent_research_replay_validator,scripts/revenue_unreacted_range_low_mid_falling_candidate_audit.py,,True,independent_research_replay_evidence_only_not_promotion_proof,Independently replays source membership operation timing returns non-overlap anomaly sensitivity and artifact lineage without importing the producer; evidence remains research-only and cannot prove promotion readiness.
scripts/validate_revenue_unreacted_range_promotion_preparation.py,independent_contract_artifact_binding_validator,scripts/revenue_unreacted_range_low_mid_falling_candidate_audit.py,,True,independent_promotion_preparation_contract_and_artifact_binding_only_not_promotion_proof,Binds append-only v1/v2 decisions migration evidence trusted Git blobs exact hashes metrics anomaly attribution operation reconciliation and false formal flags without importing the producer; it does not independently replay the complete raw price or source history and does not prove promotion.
scripts/validate_research_against_stock_model_contract.py,production_research_contract_consistency,scripts/build_daily_candidate_model_layer.py,build_parameter_table;build_specs,False,contract_consistency_only_not_promotion_proof,Useful for registry consistency but not an independent oracle for model outcomes.
scripts/validate_revenue_unreacted_range_source_snapshot_projection.py,independent_source_lineage_validator,scripts/revenue_unreacted_range_source_snapshot_projection.py,,True,independent_research_source_snapshot_lineage_evidence_only_not_promotion_proof,Independently validates the 20260713 cutoff reconstruction canonical source row-set SHA raw source lineage manifest binding and formal-use false flags without importing the producer; evidence remains research-only and cannot prove promotion readiness.
