lineage_id,field_name,model_family,artifact_path,artifact_role,producer,identity_columns,as_of_columns,canonical_source_artifact,allowed_consumer_modules,allowed_use,forbidden_use,collision_policy,parity_policy,contract_sha256,last_migration_id,approval_reference,required_validation_commands,notes
warrant_flow_signal__official_current,warrant_flow_signal,volume_v2_warrant_current,output/latest/warrant_flow_latest.csv,canonical,build_warrant_flow_latest.py,date;stock_id,date,output/latest/warrant_flow_latest.csv,merge_warrant_flow_into_candidates.py;scripts/build_daily_candidate_model_layer.py;scripts/build_volume_attack_theme_layer.py;scripts/build_warrant_market_report.py;scripts/generate_chatgpt_side_daily_reports.py;scripts/generate_individual_stock_report.py;scripts/validate_volume_attack_theme_layer.py;scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,positive_projection_via_all_candidates_and_negative_absence_guard,direct_positive_formal_use_outside_all_candidates,canonical_only,canonical_stock_date_unique,9bb1b2281f3a10dea08ec06f073293dc675acec795424ec16a85a099e0cbaf8b,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Official current warrant signal is the only current canonical producer.
warrant_flow_signal__all_candidates_current,warrant_flow_signal,volume_v2_warrant_current,output/latest/all_candidates_latest.csv,canonical_projection,merge_warrant_flow_into_candidates.py,signal_date;source_row_index;stock_id,signal_date,output/latest/warrant_flow_latest.csv,build_daily_market_report_artifacts.py;scripts/apply_fundamental_catalyst_layer.py;scripts/apply_revenue_industry_applicability.py;scripts/build_candidate_repeat_appearance.py;scripts/build_daily_candidate_model_layer.py;scripts/build_daily_theme_leadership_layer.py;scripts/build_individual_stock_chatgpt_packets.py;scripts/build_non_revenue_momentum_watch.py;scripts/build_surge_precondition_model.py;scripts/build_volume_attack_theme_layer.py;scripts/generate_individual_stock_report.py;scripts/update_daily_candidate_signal_log.py;scripts/update_daily_published_model_snapshots.py;scripts/validate_volume_attack_theme_layer.py;scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,sole_positive_formal_projection_for_volume_v2,watch_or_taxonomy_override,registered_projection_only,official_to_candidate_by_stock_and_date,0fab754c9605c9c06d47484bbbd2ba99bd9dd0cef5598ddb08e42572e5101d8e,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,All volume-v2 positive warrant effects must enter through this projection.
warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,volume_v2_warrant_current,output/latest/volume_breakout_watch_latest.csv,forbidden_same_name,scripts/build_volume_breakout_watch.py,signal_date;stock_id,signal_date,output/latest/warrant_flow_latest.csv,none,price_volume_and_model_owned_watch_fields_only,warrant_flow_signal_and_warrant_derived_fields,column_must_be_absent,forbidden_same_name_no_value_parity,329d6f11b4dc9d78d5cd93c33d6f44fccdd00b8a23c0edc57f093dda6f127bcf,volume_v2_warrant_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,The watch artifact must not mirror or override canonical warrant semantics.
warrant_flow_signal__formal_raw_current,warrant_flow_signal,volume_v2_warrant_current,output/latest/daily_candidate_model_signals_latest.csv,formal_projection,scripts/build_daily_candidate_model_layer.py,signal_date;report_bucket;source_row_index;stock_id;model_id,signal_date,output/latest/warrant_flow_latest.csv,scripts/build_daily_report_model_summary.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,formal_volume_v2_signal_score_and_rank_projection,watch_field_override_or_unregistered_consumer,registered_projection_only,candidate_to_raw_formal_by_exact_identity,0295e583813628d694ef9e202b06bf0078480fbbc5942c38f01a6c573eb37d63,volume_v2_warrant_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Only the three registered volume-v2 consumers are in scope.
warrant_flow_signal__formal_report_current,warrant_flow_signal,volume_v2_warrant_current,output/latest/daily_candidate_model_signals_for_report_latest.csv,formal_projection,scripts/build_daily_candidate_model_layer.py,signal_date;report_line;source_row_index;stock_id;model_id,signal_date,output/latest/warrant_flow_latest.csv,scripts/build_daily_report_model_summary.py;scripts/generate_chatgpt_side_daily_reports.py;scripts/update_daily_published_model_snapshots.py;scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,formal_report_projection_for_registered_volume_v2_rows,candidate_reconstruction_or_watch_fallback,registered_projection_only,raw_to_report_exact_warrant_score_rank_parity,be0b97f3fdc72e4abf22d9d8c8af1e7d95f8bf88a7905b43c94577078130f9ef,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Report rows must preserve raw formal warrant semantics.
warrant_flow_signal__volume_attack_theme_advisory,warrant_flow_signal,volume_v2_warrant_current,output/latest/volume_attack_theme_stocks_latest.csv,advisory_projection,scripts/build_volume_attack_theme_layer.py,signal_date;stock_id,warrant_flow_as_of,output/latest/warrant_flow_latest.csv,scripts/audit_daily_data_layer_consistency.py;scripts/build_non_revenue_momentum_watch.py;scripts/generate_chatgpt_side_daily_reports.py;scripts/update_daily_theme_status_history.py;scripts/validate_volume_attack_theme_layer.py;scripts/validate_daily_canonical_field_lineage.py,advisory_theme_context_with_pinned_canonical_lineage,formal_model_gate_score_rank_or_candidate_reconstruction,registered_projection_only,candidate_to_theme_value_as_of_and_source_sha_parity,121bbf249adc664c75f6c10f4813d3fe6e932409b325d27dcd613d2c539cffe2,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_volume_attack_theme_layer.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Theme warrant mirror is advisory and pins all_candidates plus official source lineage.
warrant_flow_signal__official_history,warrant_flow_signal,volume_v2_warrant_history,output/history/warrant_flow/warrant_flow_*.csv,canonical,build_warrant_flow_latest.py,date;stock_id,date,output/history/warrant_flow/warrant_flow_*.csv,scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,paired_historical_lineage_audit_only,rewrite_or_reclassify_historical_rows,canonical_only,historical_canonical_stock_date_unique,ec863e48bbbe1a1e79914d23d9cf171cce9f3ee6bb0d182072327d7c17d64d78,volume_v2_warrant_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Historical source rows are immutable audit evidence.
warrant_flow_signal__all_candidates_history,warrant_flow_signal,volume_v2_warrant_history,output/history/daily_model_snapshots/all_candidates_*.csv,historical_projection,scripts/update_daily_published_model_snapshots.py,signal_date;source_row_index;stock_id,signal_date,output/history/warrant_flow/warrant_flow_*.csv,scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,paired_historical_lineage_audit_only,rewrite_historical_source_projection,registered_projection_only,historical_official_to_candidate_by_date_and_stock,bb5c24ce6f7244f8f9eb96657bc4dbfb79fb512f2923a9903f21e214de1a1d0f,volume_v2_warrant_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Historical candidate snapshots remain unchanged and are audited in place.
warrant_flow_signal__formal_report_history,warrant_flow_signal,volume_v2_warrant_history,output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_*.csv,historical_projection,scripts/update_daily_published_model_snapshots.py,signal_date;report_line;source_row_index;stock_id;model_id,signal_date,output/history/warrant_flow/warrant_flow_*.csv,scripts/build_volume_v2_warrant_lineage_history_audit.py;scripts/validate_volume_v2_warrant_lineage_history_audit.py;scripts/validate_daily_warrant_formal_sync_scope.py;scripts/validate_daily_canonical_field_lineage.py,paired_volume_v2_warrant_score_rank_audit_only,rewrite_or_promote_from_superseded_history,registered_projection_only,historical_candidate_to_formal_warrant_score_rank_parity,d39a907d72b57f0bc62c0065040e7f099282a3992030fd54705e3180687311c3,volume_v2_warrant_canonical_field_lineage_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_warrant_formal_sync_scope.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Legacy mismatches must be marked by audit rather than rewritten.
advisory_volume_breakout_score__volume_watch_current,advisory_volume_breakout_score,volume_v2_watch_score_rank_current,output/latest/volume_breakout_watch_latest.csv,canonical_advisory_source,scripts/build_volume_breakout_watch.py,signal_date;stock_id,advisory_score_as_of,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_attack_theme_layer.py;scripts/validate_volume_attack_theme_layer.py;scripts/validate_volume_breakout_watch.py;scripts/validate_daily_canonical_field_lineage.py,volume_v2_scoped_advisory_score_source,formal_dispatch_or_cross_model_business_use,canonical_only,watch_to_theme_exact_value_as_of_and_source_sha_parity,a908abe5b59090acfff218b1503252355f08ab6c61b408f45d17739b95bae40e,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_volume_attack_theme_layer.py;python scripts/validate_volume_breakout_watch.py --latest-only;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; watch score is advisory and cannot enter formal dispatch.
volume_breakout_score__volume_attack_theme_advisory,volume_breakout_score,volume_v2_watch_score_rank_current,output/latest/volume_attack_theme_stocks_latest.csv,advisory_projection,scripts/build_volume_attack_theme_layer.py,signal_date;stock_id,volume_watch_as_of,output/latest/volume_breakout_watch_latest.csv,scripts/validate_volume_attack_theme_layer.py;scripts/validate_daily_canonical_field_lineage.py;scripts/generate_chatgpt_side_daily_reports.py,volume_v2_scoped_advisory_theme_score_mirror,formal_model_gate_rank_or_cross_model_business_use,registered_projection_only,watch_to_theme_exact_value_as_of_and_source_sha_parity,31561802b486e634ef350a22b813ea4e1daba4e351ec0684a9821d3480b9a3e7,canonical_field_consumer_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_volume_attack_theme_layer.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Volume-v2 scope only; theme score mirror is advisory with pinned watch lineage.
