date,ticker,name,market,open,high,low,close,volume,turnover
20250924,1101,台泥,listed,23.75,23.75,23.4,23.45,36320099.0,853552071.0
20250924,1102,亞泥,listed,37.0,37.25,36.75,37.1,4167839.0,154182489.0
20250924,1103,嘉泥,listed,13.45,13.45,13.35,13.4,479402.0,6423354.0
20250924,1104,環泥,listed,29.75,30.35,29.75,30.3,1075633.0,32454399.0
20250924,1108,幸福,listed,15.1,15.15,15.05,15.05,69114.0,1042417.0
20250924,1109,信大,listed,15.7,15.8,15.7,15.7,39969.0,629455.0
20250924,1110,東泥,listed,17.0,17.0,16.75,16.75,77991.0,1316016.0
20250924,1201,味全,listed,15.45,15.55,15.4,15.4,246194.0,3802883.0
20250924,1203,味王,listed,39.45,39.7,39.4,39.7,7233.0,285742.0
20250924,1210,大成,listed,52.0,52.6,52.0,52.0,1626435.0,84856794.0
20250924,1213,大飲,listed,12.05,12.05,12.05,12.05,1001.0,12061.0
20250924,1215,卜蜂,listed,134.0,137.0,134.0,136.0,854330.0,115975397.0
20250924,1216,統一,listed,78.5,79.1,78.3,79.1,7610108.0,601135985.0
20250924,1217,愛之味,listed,10.65,10.65,10.55,10.55,380754.0,4030542.0
20250924,1218,泰山,listed,19.0,19.2,19.0,19.05,548189.0,10478130.0
20250924,1219,福壽,listed,13.35,13.45,13.35,13.45,140636.0,1888109.0
20250924,1220,台榮,listed,12.95,12.95,12.8,12.85,63335.0,814040.0
20250924,1225,福懋油,listed,30.6,30.6,29.65,30.0,453157.0,13641781.0
20250924,1227,佳格,listed,30.15,30.15,30.05,30.1,403236.0,12142497.0
20250924,1229,聯華,listed,48.9,48.95,48.4,48.6,887401.0,43170214.0
20250924,1231,聯華食,listed,129.0,130.0,128.5,129.0,241352.0,31241945.0
20250924,1232,大統益,listed,147.5,148.0,147.0,147.0,52992.0,7800662.0
20250924,1233,天仁,listed,30.8,30.8,30.8,30.8,6108.0,188152.0
20250924,1234,黑松,listed,38.25,38.3,38.2,38.25,76694.0,2932909.0
20250924,1235,興泰,listed,62.7,63.7,62.7,63.1,19366.0,1219616.0
20250924,1236,宏亞,listed,23.95,24.05,23.9,24.0,35745.0,857233.0
20250924,1256,鮮活果汁-KY,listed,172.5,172.5,167.5,170.0,32304.0,5462894.0
20250924,1301,台塑,listed,38.85,38.85,37.9,38.05,8837544.0,336817860.0
20250924,1303,南亞,listed,39.6,40.0,38.5,38.6,39165757.0,1524443081.0
20250924,1304,台聚,listed,10.2,10.25,10.0,10.1,2614307.0,26339041.0
20250924,1305,華夏,listed,11.5,11.55,11.45,11.55,367196.0,4215258.0
20250924,1307,三芳,listed,30.45,30.7,30.35,30.5,346900.0,10568200.0
20250924,1308,亞聚,listed,11.7,11.75,11.65,11.7,605295.0,7069852.0
20250924,1309,台達化,listed,10.8,10.9,10.7,10.7,465455.0,5010539.0
20250924,1310,台苯,listed,8.66,8.73,8.55,8.56,361064.0,3097553.0
20250924,1312,國喬,listed,9.52,9.61,9.37,9.39,2752355.0,25949658.0
20250924,1313,聯成,listed,10.55,10.6,10.05,10.1,3384498.0,34547081.0
20250924,1314,中石化,listed,7.29,7.32,7.22,7.23,6819998.0,49397985.0
20250924,1315,達新,listed,64.1,64.1,64.0,64.1,4061.0,260212.0
20250924,1316,上曜,listed,14.85,14.9,14.5,14.6,5076673.0,74287779.0
20250924,1319,東陽,listed,94.0,96.0,94.0,94.2,2312987.0,219314458.0
20250924,1321,大洋,listed,36.3,36.6,36.05,36.45,72134.0,2617746.0
20250924,1323,永裕,listed,19.8,19.8,19.7,19.8,12052.0,237929.0
20250924,1324,地球,listed,11.15,11.4,10.9,11.2,56453.0,629988.0
20250924,1325,恆大,listed,29.35,31.35,29.3,29.9,1729420.0,52338789.0
20250924,1326,台化,listed,29.1,29.15,28.45,28.6,7376309.0,210943366.0
20250924,1337,再生-KY,listed,5.09,5.1,5.0,5.03,472213.0,2371916.0
20250924,1338,廣華-KY,listed,22.1,22.4,22.0,22.15,45134.0,1000171.0
20250924,1339,昭輝,listed,42.2,42.25,41.75,41.8,58100.0,2440539.0
20250924,1340,勝悅-KY,listed,8.2,8.85,8.2,8.62,2390205.0,20496997.0
20250924,1341,富林-KY,listed,60.0,60.0,58.4,59.8,10062.0,599829.0
20250924,1342,八貫,listed,84.8,86.2,84.8,85.5,137445.0,11756111.0
20250924,1402,遠東新,listed,27.8,28.1,27.65,27.65,5555808.0,154156601.0
20250924,1409,新纖,listed,14.25,14.45,14.1,14.1,4363058.0,61919953.0
20250924,1410,南染,listed,34.75,34.75,34.3,34.7,11104.0,382842.0
20250924,1413,宏洲,listed,10.75,10.8,10.65,10.8,5780.0,61829.0
20250924,1414,東和,listed,18.9,19.1,18.75,18.95,663658.0,12520834.0
20250924,1416,廣豐,listed,11.2,11.25,11.15,11.2,180725.0,2019853.0
